sector,district,inv
Engineering,Warangal,13.5
Others,"Yadadri Bhuvanagiri",13.1
Engineering,Siddipet,13
Textiles,"Yadadri Bhuvanagiri",12.9
R&D,Siddipet,12.7
"Granite and Stone Crushing",Hanumakonda,12.7
"Agro based incl Cold Storages",Nagarkurnool,12.6
Others,Khammam,11.6
"Food Processing",Hyderabad,11.2
"Food Processing","Jayashankar Bhupalpally",10.9
"Wood and Leather",Medchal_Malkajgiri,10.8
"Paper and Printing",Medak,10.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Karimnagar,10.2
Textiles,"Jogulamba Gadwal",10.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",Warangal,10.1
"Food Processing",Mancherial,10
"Agro based incl Cold Storages",Jangoan,10
Beverages,Mahabubnagar,10
"Real Estate,Industrial Parks and IT Buildings","Yadadri Bhuvanagiri",10
"Agro based incl Cold Storages",Karimnagar,9.8
Engineering,Karimnagar,9.5
Engineering,Nizamabad,9.5
"Food Processing","Kumurambheem Asifabad",9.3
"Plastic and Rubber",Nizamabad,9.3
"Food Processing","Bhadradri Kothagudem",9.1
Beverages,Medak,9
Engineering,Khammam,8.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mancherial,8.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Khammam,8.5
Beverages,Rangareddy,8.4
Engineering,Suryapet,8.2
Textiles,"Rajanna Sircilla",8.1
Engineering,Nagarkurnool,8.1
Others,Jangoan,8.1
Textiles,Hanumakonda,7.9
Others,Vikarabad,7.8
Textiles,Sangareddy,7.7
"Solar and Other Renewable Energy",Nalgonda,7.7
"Cement, Cement & Concrete Products, Fly Ash Bricks","Yadadri Bhuvanagiri",7.4
Others,Nizamabad,6.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Peddapalli,6.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Medak,6.5
Engineering,Hanumakonda,6.5
Engineering,Nirmal,6.3
Beverages,Vikarabad,5.8
"Wood and Leather",Khammam,5.7
"Plastic and Rubber","Bhadradri Kothagudem",5.7
"Pharmaceuticals and Chemicals",Peddapalli,5.7
Beverages,Suryapet,5.7
Engineering,Jagtial,5.6
"Plastic and Rubber",Nalgonda,5.5
"Granite and Stone Crushing",Mancherial,5.4
Others,"Jayashankar Bhupalpally",5.2
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nalgonda,5.1
"Granite and Stone Crushing","Rajanna Sircilla",5.1
"Agro based incl Cold Storages","Bhadradri Kothagudem",5
"Granite and Stone Crushing",Suryapet,5
"Cement, Cement & Concrete Products, Fly Ash Bricks","Rajanna Sircilla",4.8
Engineering,"Jogulamba Gadwal",4.7
"Granite and Stone Crushing",Jangoan,4.6
Others,Mahabubabad,4.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nagarkurnool,4.4
"Cement, Cement & Concrete Products, Fly Ash Bricks",Hanumakonda,4.4
"Granite and Stone Crushing","Bhadradri Kothagudem",4.3
Others,Mulugu,4.2
Textiles,Jangoan,4.2
"Agro based incl Cold Storages","Yadadri Bhuvanagiri",4.1
Beverages,Medchal_Malkajgiri,4.1
"Solar and Other Renewable Energy","Yadadri Bhuvanagiri",4.1
"Agro based incl Cold Storages",Suryapet,4
"Cement, Cement & Concrete Products, Fly Ash Bricks",Jagtial,3.8
"Granite and Stone Crushing",Warangal,3.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mahabubabad,3.6
"Granite and Stone Crushing",Jagtial,3.5
"Granite and Stone Crushing",Nalgonda,3.4
Engineering,"Rajanna Sircilla",3.3
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Medchal_Malkajgiri,3.2
"Granite and Stone Crushing",Siddipet,3.2
"Agro based incl Cold Storages",Narayanpet,3.2
Engineering,Mancherial,3.1
"Cement, Cement & Concrete Products, Fly Ash Bricks","Kumurambheem Asifabad",3.1
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Medak,3.1
Beverages,Jagtial,3
"Pharmaceuticals and Chemicals","Kumurambheem Asifabad",3
"Paper and Printing",Khammam,2.9
"Granite and Stone Crushing",Adilabad,2.9
"Plastic and Rubber",Mancherial,2.8
"Plastic and Rubber",Hanumakonda,2.8
"Pharmaceuticals and Chemicals",Hanumakonda,2.7
"Pharmaceuticals and Chemicals",Narayanpet,2.7
"Wood and Leather",Warangal,2.6
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nizamabad,2.6
"Agro based incl Cold Storages",Vikarabad,2.6
"Wood and Leather",Vikarabad,2.6
Others,Peddapalli,2.6
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nirmal,2.5
R&D,Medak,2.5
Beverages,"Yadadri Bhuvanagiri",2.5
Engineering,"Kumurambheem Asifabad",2.4
Others,Nagarkurnool,2.4
"Wood and Leather",Mahabubabad,2.3
"Cement, Cement & Concrete Products, Fly Ash Bricks",Siddipet,2.3
"Agro based incl Cold Storages",Wanaparthy,2.3
"Wood and Leather",Siddipet,2.2
"Food Processing",Adilabad,2.1
Engineering,Kamareddy,2.1
Engineering,Peddapalli,2.1
"Agro based incl Cold Storages",Peddapalli,2.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",Vikarabad,2.1
"Plastic and Rubber","Rajanna Sircilla",2.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",Adilabad,2
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Nalgonda,2
"Agro based incl Cold Storages",Adilabad,2
"Paper and Printing",Mahabubnagar,2
Beverages,Karimnagar,1.9
Engineering,"Bhadradri Kothagudem",1.9
Textiles,Nalgonda,1.9
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Mahabubnagar,1.8
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mulugu,1.8
Others,"Bhadradri Kothagudem",1.8
"Plastic and Rubber",Warangal,1.8
Engineering,Mahabubabad,1.8
"Wood and Leather",Karimnagar,1.8
"Electrical and Electronic Products",Hanumakonda,1.7
"Granite and Stone Crushing",Nagarkurnool,1.6
"Wood and Leather",Nizamabad,1.6
"Pharmaceuticals and Chemicals",Nizamabad,1.6
Textiles,Vikarabad,1.6
"Cement, Cement & Concrete Products, Fly Ash Bricks","Jayashankar Bhupalpally",1.5
"Pharmaceuticals and Chemicals","Rajanna Sircilla",1.5
"Electrical and Electronic Products",Warangal,1.4
Beverages,Nalgonda,1.4
"Plastic and Rubber",Narayanpet,1.4
"Pharmaceuticals and Chemicals",Nagarkurnool,1.4
Beverages,Warangal,1.3
Textiles,Mancherial,1.3
Beverages,Mahabubabad,1.3
"Pharmaceuticals and Chemicals",Mancherial,1.3
"Granite and Stone Crushing",Peddapalli,1.3
Engineering,Jangoan,1.2
"Paper and Printing",Nizamabad,1.2
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Nizamabad,1.2
"Electrical and Electronic Products",Jangoan,1.2
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Rangareddy,1.2
Beverages,Peddapalli,1.2
"Plastic and Rubber",Khammam,1.2
"Plastic and Rubber",Karimnagar,1.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",Jangoan,1.1
"Plastic and Rubber","Jogulamba Gadwal",1.1
Textiles,Khammam,1.1
"Electrical and Electronic Products",Nirmal,1.1
"Paper and Printing",Nalgonda,1
Beverages,"Kumurambheem Asifabad",1
"Pharmaceuticals and Chemicals",Warangal,1
Textiles,Medak,1
"Wood and Leather","Yadadri Bhuvanagiri",1
"Granite and Stone Crushing","Kumurambheem Asifabad",1
"Paper and Printing",Nagarkurnool,0.9
"Granite and Stone Crushing",Narayanpet,0.9
"Agro based incl Cold Storages","Jogulamba Gadwal",0.8
"Agro based incl Cold Storages",Mulugu,0.8
"Cement, Cement & Concrete Products, Fly Ash Bricks",Kamareddy,0.8
"Wood and Leather",Kamareddy,0.8
"Real Estate,Industrial Parks and IT Buildings",Sangareddy,0.8
"Wood and Leather","Bhadradri Kothagudem",0.8
"Plastic and Rubber",Suryapet,0.7
"Solar and Other Renewable Energy",Medchal_Malkajgiri,0.7
"Paper and Printing",Jagtial,0.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Wanaparthy,0.7
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Warangal,0.7
"Agro based incl Cold Storages",Hanumakonda,0.7
Others,Warangal,0.7
Others,Suryapet,0.7
Others,"Jogulamba Gadwal",0.7
"Paper and Printing",Hanumakonda,0.7
"Pharmaceuticals and Chemicals",Mahabubabad,0.6
Others,Adilabad,0.6
Others,Mancherial,0.6
Others,Wanaparthy,0.6
Automobile,Nirmal,0.5
Engineering,Mulugu,0.5
"Paper and Printing",Vikarabad,0.5
Textiles,Jagtial,0.5
"Wood and Leather",Jagtial,0.5
"Agro based incl Cold Storages",Mancherial,0.5
Beverages,"Bhadradri Kothagudem",0.5
"Real Estate,Industrial Parks and IT Buildings",Karimnagar,0.5
Others,Jagtial,0.5
Automobile,Medchal_Malkajgiri,0.5
"Wood and Leather","Rajanna Sircilla",0.4
Textiles,Mahabubabad,0.4
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Siddipet,0.4
"Wood and Leather",Nalgonda,0.4
Engineering,"Jayashankar Bhupalpally",0.4
Beverages,Jangoan,0.4
"Granite and Stone Crushing","Jayashankar Bhupalpally",0.4
"Paper and Printing",Warangal,0.4
"Granite and Stone Crushing",Kamareddy,0.4
"Solar and Other Renewable Energy",Nirmal,0.4
"Pharmaceuticals and Chemicals",Adilabad,0.3
"Plastic and Rubber",Wanaparthy,0.3
Engineering,Adilabad,0.3
"Wood and Leather",Jangoan,0.3
Beverages,Adilabad,0.3
Beverages,Mancherial,0.3
"Paper and Printing",Kamareddy,0.3
"Plastic and Rubber",Peddapalli,0.3
"Paper and Printing",Karimnagar,0.3
"Pharmaceuticals and Chemicals","Jogulamba Gadwal",0.3
Textiles,Suryapet,0.2
"Electrical and Electronic Products",Mancherial,0.2
"Paper and Printing",Hyderabad,0.2
"Pharmaceuticals and Chemicals",Hyderabad,0.2
Beverages,Nizamabad,0.2
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Suryapet,0.2
"Granite and Stone Crushing",Wanaparthy,0.2
Beverages,Nirmal,0.2
"Granite and Stone Crushing",Nizamabad,0.2
"Pharmaceuticals and Chemicals",Karimnagar,0.2
"Plastic and Rubber","Jayashankar Bhupalpally",0.2
Others,Kamareddy,0.2
"Paper and Printing",Adilabad,0.2
Textiles,Karimnagar,0.2
Beverages,Hanumakonda,0.2
Others,Narayanpet,0.2
"Electrical and Electronic Products","Kumurambheem Asifabad",0.2
"Electrical and Electronic Products",Khammam,0.2
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Nagarkurnool,0.2
Beverages,"Jayashankar Bhupalpally",0.1
"Plastic and Rubber",Mahabubabad,0.1
"Wood and Leather",Nirmal,0.1
Others,Nirmal,0.1
"Pharmaceuticals and Chemicals",Jagtial,0.1
"Wood and Leather",Suryapet,0.1
"Wood and Leather",Adilabad,0.1
