sector,month(month),inv
"Plastic and Rubber",7,330
"Plastic and Rubber",8,1567.6
"Plastic and Rubber",9,523.7
"Plastic and Rubber",10,295
"Plastic and Rubber",11,346.9
"Plastic and Rubber",12,1958.3
R&D,1,229.4
R&D,2,463.8
R&D,3,478.7
R&D,4,639.6
R&D,5,152.4
R&D,6,359.3
R&D,7,355.8
R&D,8,193.8
R&D,9,489.3
R&D,10,42.1
R&D,11,46.9
R&D,12,69.7
"Real Estate,Industrial Parks and IT Buildings",1,1397.2
"Real Estate,Industrial Parks and IT Buildings",2,17843.4
"Real Estate,Industrial Parks and IT Buildings",3,3399
"Real Estate,Industrial Parks and IT Buildings",4,822.7
"Real Estate,Industrial Parks and IT Buildings",5,903.3
"Real Estate,Industrial Parks and IT Buildings",6,270.8
"Real Estate,Industrial Parks and IT Buildings",7,1124.2
"Real Estate,Industrial Parks and IT Buildings",8,2007.7
"Real Estate,Industrial Parks and IT Buildings",9,283.4
"Real Estate,Industrial Parks and IT Buildings",10,904.5
"Real Estate,Industrial Parks and IT Buildings",11,822.1
"Solar and Other Renewable Energy",1,246.8
"Solar and Other Renewable Energy",2,4.4
"Solar and Other Renewable Energy",3,151.6
"Solar and Other Renewable Energy",4,1202.9
"Solar and Other Renewable Energy",5,98.5
"Solar and Other Renewable Energy",6,1109.5
"Solar and Other Renewable Energy",7,327.8
"Solar and Other Renewable Energy",8,37.4
"Solar and Other Renewable Energy",9,409.5
"Solar and Other Renewable Energy",10,0.8
"Solar and Other Renewable Energy",11,2008.2
"Solar and Other Renewable Energy",12,42.4
Textiles,1,63.3
Textiles,2,56.2
Textiles,3,66.2
Textiles,4,15.1
Textiles,5,37.9
Textiles,6,51.1
Textiles,7,81.5
Textiles,8,104.2
Textiles,9,1191.8
Textiles,10,87
Textiles,11,44.7
Textiles,12,45.4
"Thermal Power Plant",8,87
"Wood and Leather",1,22.4
"Wood and Leather",2,10.1
"Wood and Leather",3,5.3
"Wood and Leather",4,6.9
"Wood and Leather",5,5
"Wood and Leather",6,13.1
"Wood and Leather",7,11.4
"Wood and Leather",8,10.1
"Wood and Leather",9,40.6
"Wood and Leather",10,2.9
"Wood and Leather",11,14.8
"Wood and Leather",12,9.8
